Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
40,Ca+,4P3/2,,6.881,,CCSD(T),2009,"B. K. Sahoo, B. P. Das, D. Mukherjee, Phys. Rev. A 79 (2009) 052511.",https://doi.org/10.1103/PhysRevA.79.052511,
56,Ba+,6P1/2,,7.92,0.1,CCSD(T),2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, R. G. E. Timmermans, Phys. Rev. A 79 (2009) 052512.",https://doi.org/10.1103/PhysRevA.79.052512,
56,Ba+,6P3/2,,6.3,0.17,CCSD(T),2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, R. G. E. Timmermans, Phys. Rev. A 79 (2009) 052512.",https://doi.org/10.1103/PhysRevA.79.052512,
12,Mg+,4S1/2,,2.9,,WBEPMT,2011,"G. Celik, S. S. Ozarslan, M. Taser, J. Quant. Spectrosc. Radiat. Transfer 112 (2011) 2330.",https://doi.org/10.1016/j.jqsrt.2011.06.010,
12,Mg+,3D3/2,,2.04,,WBEPMT,2011,"G. Celik, S. S. Ozarslan, M. Taser, J. Quant. Spectrosc. Radiat. Transfer 112 (2011) 2330.",https://doi.org/10.1016/j.jqsrt.2011.06.010,
12,Mg+,3D5/2,,2.05,,WBEPMT,2011,"G. Celik, S. S. Ozarslan, M. Taser, J. Quant. Spectrosc. Radiat. Transfer 112 (2011) 2330.",https://doi.org/10.1016/j.jqsrt.2011.06.010,
12,Mg+,4P1/2,,18.8,,WBEPMT,2011,"G. Celik, S. S. Ozarslan, M. Taser, J. Quant. Spectrosc. Radiat. Transfer 112 (2011) 2330.",https://doi.org/10.1016/j.jqsrt.2011.06.010,
12,Mg+,4P3/2,,18.7,,WBEPMT,2011,"G. Celik, S. S. Ozarslan, M. Taser, J. Quant. Spectrosc. Radiat. Transfer 112 (2011) 2330.",https://doi.org/10.1016/j.jqsrt.2011.06.010,
12,Mg+,5S1/2,,5.04,,WBEPMT,2011,"G. Celik, S. S. Ozarslan, M. Taser, J. Quant. Spectrosc. Radiat. Transfer 112 (2011) 2330.",https://doi.org/10.1016/j.jqsrt.2011.06.010,
12,Mg+,4D3/2,,7.43,,WBEPMT,2011,"G. Celik, S. S. Ozarslan, M. Taser, J. Quant. Spectrosc. Radiat. Transfer 112 (2011) 2330.",https://doi.org/10.1016/j.jqsrt.2011.06.010,
12,Mg+,4D5/2,,7.46,,WBEPMT,2011,"G. Celik, S. S. Ozarslan, M. Taser, J. Quant. Spectrosc. Radiat. Transfer 112 (2011) 2330.",https://doi.org/10.1016/j.jqsrt.2011.06.010,
12,Mg+,4F5/2,,4.41,,WBEPMT,2011,"G. Celik, S. S. Ozarslan, M. Taser, J. Quant. Spectrosc. Radiat. Transfer 112 (2011) 2330.",https://doi.org/10.1016/j.jqsrt.2011.06.010,
